1579	-1.0616281 0.506168 0.045356765 -0.6379526 1.4922874 0.23641236 1.1266506 0.80858487 -1.1883663 -0.65181404 0.17480162 0.50298417 -0.22577475 -0.30547446 -0.22527246 -0.7489867 0.71044713 -1.0832396 0.855383 0.6590075 -0.6980759 0.28649846 -1.2077928 -0.2078267 -0.081874385 -0.30548242 0.24882075 -0.07902376 0.6323694 -0.39494333 -0.961063 -0.2507934 -0.7569535 0.46937424 0.4375361 0.099937454 -0.048423454 -0.46750942 0.7700765 1.2606703 1.2052135 1.1539241 -0.013754483 -0.52005714 -0.17525357 -0.26346895 -1.6200981 -0.74612045 0.29785615 1.4877751 0.52167994 -0.75169647 0.22721863 1.5207167 0.011480525 0.63833857 0.23971711 -1.2267035 -1.3406289 -0.5121907 0.5407629 -0.08173889 0.2668533 0.5190322
537	0.80323327 -0.4618236 0.7620351 0.09730075 0.50766385 -0.029276188 -0.3153688 1.3481735 -1.2021073 -0.4412899 -0.9922224 0.15906379 -0.47418332 0.26564264 0.37268543 0.23023862 0.3240718 -0.5467155 -0.8708207 -0.06601488 0.64972526 0.60792 -1.4619238 -0.47890663 1.2920005 -0.67193884 -0.65454507 -0.7502822 -0.611358 0.19737521 -1.0714136 1.7456548 0.12719975 -0.72645754 1.382554 -0.34488732 0.707068 -1.1298343 1.5431427 0.16365337 0.225006 -0.53480065 -0.032191798 -0.9512808 -0.96637833 1.2727313 0.7214611 -0.087555274 -1.3562839 -0.3299726 -0.15806715 0.23437783 1.9952834 0.7498648 -0.020001318 -0.6788944 1.11132 -0.051722433 -0.105825424 -0.49447727 0.66701335 -0.748541 -0.36220682 0.06623944
88	-1.1311221 0.39972544 1.6433754 -0.01746042 -0.6970872 -1.7638179 0.8680067 0.3208234 2.0488086 -3.3724225 -0.4022054 3.5391178 0.5315073 -0.9347502 1.3997304 -1.0089619 1.1883471 -0.43025532 -1.5512825 0.8275839 -3.1536677 2.0700314 -2.161234 2.972427 1.044359 3.6160169 1.0006493 0.82982755 -1.5072069 -1.5007904 0.42100003 1.1940258 -3.0698736 0.21898127 0.68678 2.3870883 0.6478679 -2.7175777 1.7215221 2.666253 0.98872805 0.096965164 2.529644 0.6739377 2.891068 0.44616112 4.3659663 1.0332749 -1.4618692 1.7617223 0.15623504 -2.1981275 -0.043404683 2.9671793 1.8667021 -0.4628361 -2.3634467 -1.5198324 0.8502602 -0.43365383 2.7364905 -0.5691286 1.8881516 0.6344566
2326	0.44784805 0.7117225 -0.044346374 0.5209359 -0.59281546 -0.48552665 0.4115768 0.2528879 -0.21303636 0.3233738 0.14282684 0.2821395 -0.25031292 -0.544965 -0.742665 -0.07280356 0.1736309 0.28626603 -0.5649781 0.38600078 0.11152979 -0.24564193 -0.6061616 -0.18878515 -0.14993396 -0.6850467 -0.064284705 -0.6294865 -0.6269921 0.26001167 -0.08949922 0.04571666 -0.092912085 0.7184579 -0.07577882 0.7795378 -0.7320247 -0.0230353 -0.46013957 0.016765565 -1.0324771 -0.15692283 0.6828726 0.19423689 -0.265494 -0.2857148 0.8516108 0.42111507 0.35807607 0.17357379 0.071785115 -0.47762266 -0.35942042 -0.6763047 0.27352804 0.5517138 -0.344662 0.4598469 1.1760802 0.3616448 -0.41641003 0.7618222 0.90460587 0.2789182
1410	-0.008456703 -0.013305254 0.38339576 1.0879948 -0.32715684 1.4790345 -0.6148765 -0.45600876 -1.1687775 0.1840693 0.59725934 0.71314865 0.6800589 0.8265605 0.43549353 1.1780114 1.142294 -0.25754416 -0.3510516 0.735684 -1.4225416 -0.583864 1.4003617 -0.611037 1.4323614 0.27079412 -1.8932048 -1.3289025 -1.1076944 1.4245007 -0.57394296 0.25736046 0.7912215 1.9271941 0.7725191 0.57740825 0.13347648 0.3206 2.0480509 -0.11340446 -0.43106347 0.58026516 -0.10568927 -1.0224135 0.6722154 -0.6004432 -1.3178829 1.2648419 -0.6856657 -0.16043285 -0.14189382 0.2087197 -0.38944006 0.78537637 -0.36416155 -1.037161 -2.1550145 -0.590785 2.0540042 -0.938543 -0.2937463 -1.3768569 -1.1129643 -0.30133438
1	-2.7002692 2.7630591 0.7666108 1.096453 2.4947758 -1.9184257 -3.73423 4.4541483 2.082281 -3.3866599 -2.7849832 3.231592 -2.191176 0.803666 4.1508965 3.0065928 1.0702033 -1.3740613 1.7172699 -1.2430439 -4.8712173 0.15415409 -0.7884931 -2.959119 -0.17119566 1.6426593 -0.9229386 0.8343706 -0.52479327 0.12178945 -0.08021509 -2.718248 -4.096323 0.4954219 -1.619016 0.93016803 1.166981 -0.8905933 -1.2563468 1.0114794 -2.805041 0.32671168 2.8915777 1.2438369 0.47678697 -0.49552664 1.2365803 1.1663156 0.8315149 2.6906512 -1.7839298 -1.2173009 1.5787873 3.017888 2.13705 0.29462385 -1.4057353 -2.679562 -2.170316 -2.5840988 2.9262664 1.33023 1.7671639 -4.5233817
87	0.5654273 -2.0797093 -1.009545 1.1831496 0.020371523 1.5244336 0.8416073 3.8185434 2.4748104 -0.8445052 2.9260743 -0.06017372 -1.0984398 -0.320772 2.0990381 1.1221691 -1.2003945 -0.6330111 0.9086455 -0.7478472 -0.45408008 -0.25806546 0.7847237 -0.33696526 4.0776324 -0.50148946 -1.4307389 -0.8850453 0.79288393 1.0075953 -0.07500474 -0.087065265 0.7411222 0.8686784 1.6666157 2.136849 1.1767008 2.3156514 0.19783224 -0.48752075 0.13163792 0.48606884 1.0999651 -1.3620508 1.4327909 1.9631807 2.2448533 -0.023334697 2.093731 -0.50168926 -1.2941167 -0.64055187 0.12956621 -1.3995447 0.41979176 -2.0206525 -1.2550826 -0.62423706 0.2287478 -0.7345015 -1.3121858 0.21429668 1.3996373 -1.666635
2327	-1.7854902 0.55816996 -0.76859087 -1.9121145 0.05311549 0.06783208 0.46596366 -0.22385594 -0.99384445 0.8955733 -0.108053654 0.11113697 0.3587836 0.14476255 -0.47307536 0.18628581 0.15263817 -0.80725986 0.64970696 -0.4202574 -1.6981654 -0.21155868 -0.7810772 -0.06929649 -0.719892 0.90666294 -0.49021077 0.22450276 1.3619853 0.5262037 -0.091491565 -0.651775 -1.4140795 0.8009231 0.5481548 1.6127876 -0.41433173 0.13979629 -0.30840674 -0.14762324 0.39872393 -0.48270452 0.009503752 -0.36744204 0.9933655 -0.61717486 0.56261253 1.4310436 0.89671695 0.4568081 0.26277032 -0.12203437 0.9954986 0.916513 1.185508 0.5335561 0.42261693 -0.9747802 -0.46315882 -1.4302258 0.7207102 -1.5564191 0.8111677 -0.016962007
39	-1.2112291 -0.8212025 -0.28656158 3.1614504 -0.37820652 -0.475493 0.21105504 0.6348556 0.124072805 -0.7842845 -0.17627387 2.0972462 0.0011269599 -1.1856319 0.31324056 1.2012237 1.7527456 -0.031915896 0.08880411 0.86465997 -1.2323414 -0.052768074 -0.5968178 0.7729291 2.3952467 -1.5146451 -1.3718458 1.755904 -2.7449307 -1.0412339 -1.5748816 -1.4287655 -3.2641225 1.07235 0.068300664 0.11302832 2.7171514 -0.9500127 0.54944086 -0.08829418 -1.6772684 -0.47403437 0.9470943 0.15568745 3.0108602 3.0234387 -1.2138369 0.61834127 0.2308574 0.81518364 0.37738752 0.61375666 2.159998 1.5505948 -0.63280296 0.22650336 -0.5828298 -1.427292 -0.21025977 0.4158371 -0.20886523 -0.99114144 2.1294274 -1.5437298
74	0.12622921 1.6746935 1.2824728 -0.1623496 0.15036592 -1.9091749 0.48314053 -0.5254491 -1.6557944 0.10134773 -0.6851404 1.393168 0.5508816 0.88080364 1.4163747 -0.7194221 1.5157672 0.16463043 -0.8553293 0.42713684 -0.87373245 1.6338938 -1.4584162 0.6824107 0.32641333 -0.20957848 -0.4766218 -0.80432606 -1.4494925 0.51293886 -0.1264989 1.5981271 0.50943756 1.3817077 -0.6922587 1.4750979 0.45449746 0.8437145 -0.04319386 0.2801969 -1.8055356 -0.7208558 1.1623917 1.03348 -0.3389534 1.2593784 0.22153781 0.53031355 -0.8045014 -0.18110496 0.3865415 0.836059 0.10904313 -0.14288262 0.2224716 -1.1828429 -1.0408472 -0.6440991 0.044259977 -1.7537869 1.4929655 1.0716599 -0.62214357 1.5259138
405	1.2772152 -2.786015 -0.4283887 0.6437337 0.38130426 0.98326814 0.4142013 1.9698316 1.2950988 0.52622294 0.5271057 -0.2792322 -1.7937558 -0.4207549 -0.38526547 0.4829229 -0.09119909 -0.5107956 -0.81394464 0.3489741 0.5914071 0.9134897 -0.4446119 -0.20318145 2.5343747 -0.73247814 -0.9142192 -2.173373 -0.57828176 1.3254447 -1.0285962 -0.15214574 0.6495888 2.7447858 1.3692358 -0.93659705 -1.1252103 -0.56569576 0.19102158 0.8704152 -0.18775558 -1.0650045 0.32878038 1.1718686 0.6936488 2.4334168 1.7715224 -0.29579636 0.5637573 -0.3041237 -1.7490505 -1.0603168 1.8780365 0.054761797 2.2232063 0.078734905 -0.8984735 -1.6501383 -0.07603498 0.0081905145 0.8941576 -2.0637128 1.1018972 -0.42996904
2154	-0.41411138 -0.5933088 0.13660441 0.42690986 -1.0594283 0.20885429 -0.16951387 0.28355026 -0.08592993 -1.1447154 0.35723865 1.1857555 0.5724263 0.85646653 -0.30258358 -0.61590576 0.6005246 -0.10622899 -0.0802495 0.26132292 1.0457356 -1.0698029 -1.079509 1.0264438 -0.012136877 -0.8067954 0.804431 0.2181376 -0.5477257 0.7889993 -0.22449176 1.8332181 0.25401482 0.5145826 -0.20240569 -1.5153837 1.7594237 -1.0032914 -1.0133166 -1.2027656 -0.96135616 -0.32723057 1.2826083 -0.44171655 -1.012574 -0.26449394 1.3754797 -0.9048039 -0.622541 -0.46667394 -0.17093906 0.19550024 1.4230807 0.48195893 0.6437427 -0.2834491 -0.059712388 1.5293645 0.35127845 1.7591548 0.49656522 1.1761739 -0.3247293 -0.9012266
282	1.7702165 -0.65601385 0.0038933456 2.0836446 0.55288655 1.9171466 0.8372685 -1.7257488 0.11620797 0.7844208 -1.1862624 1.6617078 1.537422 2.3953717 -0.5933964 1.6671138 1.1921048 0.60327363 -1.749121 1.0162823 -1.3315451 -0.068916574 -1.065207 -0.8441589 3.7803373 -1.6201422 -1.3702863 2.580668 0.964659 0.25977847 1.7635772 1.2010403 -0.29310974 1.4672914 0.6116229 0.30805933 0.81662583 0.578023 2.624268 0.79966277 -0.9175899 1.337182 0.72349966 0.023143284 0.56530035 -0.85418206 2.0391471 0.19552897 1.6535703 1.5313553 0.15153828 -1.9371294 3.0775802 0.99468917 -0.044395536 1.9467407 -0.48372906 1.262453 -1.4448756 1.1640953 1.4743574 -2.5068257 1.5653954 -1.1454742
